symbol,poolAddress,gaugeAddress,externalBribe,internalBribe
sAMM-pUSD/gDAI,0x01d0c8a976080903e9ca06a650b52fc83cad79e4,0x41916e2d1327f6f151a3168d9f11b2cd3fe32ffc,0x02825ec96873a9637f56ce3b4b3ba3bced30b44f,0x53b680f84c983de77c3adc4c2e3a6eb6d9c38d59
sAMM-WETH/DEI,0xf81efebd40ed7a30b233ea3f487b1392d36badec,0x4236b32072713b6ce0b4e99e0163c30aa478443a,0xa924916d563f8b52ea22ad0bf1e1edf15ee84cbf,0x946a5a0dd65844b0c7af3961d43800da5bd3ca84
vAMM-WETH/USDC,0xa2f1c1b52e1b7223825552343297dc68a29abecc,0x4244bf8f64500279d41840971a52408972265e48,0x39a6a984d34b1e506918b7376a052daaf7f5ea31,0x753e4ed0424ed4ed43d067870763a1f11b49a565
vAMM-WETH/ACS,0x31440d82f14e36be8ede9e47137e3dffeef32c51,0x42df709f0b0922695630d496a98607634fc49f43,0x73a78fb85c9517068ee597c8470bdc807fd80a15,0x699f352875fc20d68e882f80b56917d2c5fae283
sAMM-CHR/keyCHR,0x1cfa12e84598b281ebfd4652ce06f8eeebb4c03d,0x467580f5d38ccd6ea017ee1208ce277aef9f00b1,0x6c715a5200f73dbd820dec384f8346ee8e03277c,0xa0974f182a60cdbedb5dc0f3ef1fdbcdd4856687
vAMM-GND/gmUSD,0x01b325acd3170a90ca8399441b7fbd8727598008,0x487aab733ea4f586bb5272548f493e475dc9dbf9,0x33da786dcfce92bba34b9e79cd0e15235de10ca2,0x650e9bfff8426f71a3baae6a5604a57c5e63a33f
arbiDysonChrV3WETHARB5bpsVault,0x951966d474f13260f90a3e770b53589013d49241,0x491fce3a8fa6b12aae626d0033b77c59def910c3,0xd34ae12990c7b68ec75bf7689c48027dc1bc033e,0x4992ee4c8e0f607acba37cbed8b55bbea2fe352c
sAMM-USDF/USDC,0x468b6e0f89fa727a47d9512021050797b4875d6d,0x49a355e3cb0088d442a5c0fe2afe84df4250867a,0xc8bff3b891b4bc7c5573439f5706eb92d9e7dc7a,0x8387d8d69a6392595e8f67568c46960a95e614f2
sAMM-DOLA/USDC,0x7d6db47d1c68f89fda2bd9385cff8c78e2f2dd07,0x4a96422715c946cc4ae6517650441754ae2e52ab,0xd905ba1e550e6610a3277f886320b54b4d91b391,0x4b4f8fc62ebdd5b99849167b47a253ac14467fe0
vAMM-pOIL/USDC,0x254c14a76ab5f00bfa322ed5f822ea639a23a824,0x4cbbd76fb8d89682b6b09df3f61b43f530af28dc,0x8b7dd0326f9ac650242a9f56b9b5bbca0b5fe807,0xb5a2ae7779911fa23391003665f7d624df01484f
vAMM-CHR/DAI,0x5a1c10abf842dcddfa0cafd7ba3bdb5fd42091db,0x5051503c6bfda2751b15b4c94661f98ae3f1cbc5,0x8a116af3790c7a22238a7b1fa63db9120fee3cb1,0xabacd56c919052083c8f0d46e31ed658289dc9c9
